target_program,target_address,target_offset,name,mangled_name,namespace,kind,provenance,confidence,evidence_type,source_program,source_file,source_module,source_segment,source_offset,body_sha256,notes
PokemonMoon_US_v1_0,0x004716F8,0x003716F8,"NetAppLib::JoinFesta::JoinFestaAttractionManager::GetQuestionAnswerMsgId(JoinFestaScript::AttractionId, unsigned int)",_ZN9NetAppLib9JoinFesta26JoinFestaAttractionManager22GetQuestionAnswerMsgIdEN15JoinFestaScript12AttractionIdEj,NetAppLib::JoinFesta::JoinFestaAttractionManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x003716F8,aca1d38a818d356dbfe0dbd0be72398385dd6768f267d8ebd87666bf1459e915,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00471774,0x00371774,"NetAppLib::JoinFesta::JoinFestaAttractionManager::IsQuestionAnswerScoreUp(JoinFestaScript::AttractionId, unsigned int)",_ZN9NetAppLib9JoinFesta26JoinFestaAttractionManager23IsQuestionAnswerScoreUpEN15JoinFestaScript12AttractionIdEj,NetAppLib::JoinFesta::JoinFestaAttractionManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00371774,30f4e8ef27e3b63a198094229bb6a9574c4985a2d14723ce18ccd992635d1023,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x004717D0,0x003717D0,NetAppLib::JoinFesta::JoinFestaAttractionManager::SetKentarosuRideRockBreaker(),_ZN9NetAppLib9JoinFesta26JoinFestaAttractionManager27SetKentarosuRideRockBreakerEv,NetAppLib::JoinFesta::JoinFestaAttractionManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x003717D0,bb65548cd78fc74c6012762005ba4f3b2e26fd185bc1e89305bfb9877c2a4fbd,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00471874,0x00371874,NetAppLib::JoinFesta::JoinFestaAttractionManager::IsKentarosuRideRockBreakerAllBreak(),_ZN9NetAppLib9JoinFesta26JoinFestaAttractionManager34IsKentarosuRideRockBreakerAllBreakEv,NetAppLib::JoinFesta::JoinFestaAttractionManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00371874,4e1306f5e451e70c63f09ba88888b397931ca6662d64d2061dd8541c5a9ea962,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00471AB0,0x00371AB0,NetAppLib::JoinFesta::JoinFestaAttractionManager::AddScore(),_ZN9NetAppLib9JoinFesta26JoinFestaAttractionManager8AddScoreEv,NetAppLib::JoinFesta::JoinFestaAttractionManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00371AB0,c0dcd14477376848dab88e8710d821949341bfb1d5b486b7f9397367dd06fa82,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00471B00,0x00371B00,NetAppLib::JoinFesta::JoinFestaAttractionManager::IsPlaying(),_ZN9NetAppLib9JoinFesta26JoinFestaAttractionManager9IsPlayingEv,NetAppLib::JoinFesta::JoinFestaAttractionManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00371B00,9dc83b53583aeecbae9475fee72508fda09e93cb9097de2b6736c0c8bcfb38f7,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00471DB8,0x00371DB8,NetAppLib::JoinFesta::JoinFestaInformationMessage::PopMessage(NetAppLib::JoinFesta::InformationMessageData&),_ZN9NetAppLib9JoinFesta27JoinFestaInformationMessage10PopMessageERNS0_22InformationMessageDataE,NetAppLib::JoinFesta::JoinFestaInformationMessage,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00371DB8,f6143255dae5f68a7f7ff5c9d8d225d9b1569064a1f7bd13da547cb7682c74bd,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00472550,0x00372550,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::GetPersonalData(nnfriendsFriendKey const&),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager15GetPersonalDataERK18nnfriendsFriendKey,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00372550,b6a7a13d21f12c6993f9a4d7538993cb48820d738774ea38e9e14793d2445a0c,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x0047296C,0x0037296C,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::RemoveListAndSave(nnfriendsFriendKey const&),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager17RemoveListAndSaveERK18nnfriendsFriendKey,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x0037296C,8ca8541bba1e6d652a6ab2f8c55955701ef259260453106c27b065ac8ac03e8b,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00472B64,0x00372B64,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::GetLastP2pPersonal(),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager18GetLastP2pPersonalEv,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00372B64,62071f07bb8b4dcbc944a4a69610c74315714af8d70bf3988b3d05ff9ce6b5a7,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00472CCC,0x00372CCC,"NetAppLib::JoinFesta::JoinFestaPersonalDataManager::SetInviteFriendKey(nnfriendsFriendKey const&, unsigned int)",_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager18SetInviteFriendKeyERK18nnfriendsFriendKeyj,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00372CCC,d7bff89c71e70e579096f386144b0d3541fe9727813d84c5cc8edd31a3f7ceb4,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00472D50,0x00372D50,NetAppLib::JoinFesta::JoinFestaPersonalData::SetCommRoute(JoinFestaScript::CommRouteType),_ZN9NetAppLib9JoinFesta21JoinFestaPersonalData12SetCommRouteEN15JoinFestaScript13CommRouteTypeE,NetAppLib::JoinFesta::JoinFestaPersonalData,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00372D50,9914165777ec251c7d09ecc29cb353200c1f50be1ccda36c6a2cc5d775c04009,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00472ED0,0x00372ED0,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::GetPersonalDataList(NetAppLib::JoinFesta::JoinFestaDefine::E_JOIN_FESTA_RELATION),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager19GetPersonalDataListENS0_15JoinFestaDefine21E_JOIN_FESTA_RELATIONE,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00372ED0,9313f38c5db2d541e30d7a68b77172908dd0ca4a658b00acbb1286e8de6c06a9,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00472F30,0x00372F30,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::AddFieldPersonalList(NetAppLib::JoinFesta::JoinFestaPersonalData const&),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager20AddFieldPersonalListERKNS0_21JoinFestaPersonalDataE,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00372F30,0844f68c4a567d02dfd55defbe2649e7b896b190450100bd9d3d7d7cbf7e2fb2,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x004730C4,0x003730C4,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::GetFieldPersonalData(nnfriendsFriendKey const&),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager20GetFieldPersonalDataERK18nnfriendsFriendKey,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x003730C4,67d18e1deb91d32c9091974664d69c3bf55fa32ab69339c9240fa1cac764827f,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00473118,0x00373118,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::GetFieldPersonalList(),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager20GetFieldPersonalListEv,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00373118,f9d69d233c1a5c62552e712f35b4eabb7ecad9d61498515d9c4183f69b1e0b11,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00473120,0x00373120,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::GetRecruiterPersonal(),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager20GetRecruiterPersonalEv,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00373120,51e37ded968b8c4b669e30555fed9cf8d5136166cd592a985719a8ac71b6a155,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00473148,0x00373148,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::ResetInviteFriendKey(),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager20ResetInviteFriendKeyEv,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00373148,d61d66174a2b2900dce6e0a470faf19ee981401c82f672770ae0fcb34861edfe,Static address resolved from CRS segment base
PokemonMoon_US_v1_0,0x00473200,0x00373200,NetAppLib::JoinFesta::JoinFestaPersonalDataManager::SetRecruiterVisibleOn(),_ZN9NetAppLib9JoinFesta28JoinFestaPersonalDataManager21SetRecruiterVisibleOnEv,NetAppLib::JoinFesta::JoinFestaPersonalDataManager,FUNCTION,RETAIL_ORIGINAL_SYMBOL,ORIGINAL_EXPORT,retail CRO0 named export table,PokemonMoon_US_v1_0,static.crs,|static|,.text,0x00373200,d72643f6a151719bceecd5eada78d5d43f4c8d66a06eb117a5aa9a45694aac68,Static address resolved from CRS segment base
