class_name,evidence_kind,symbol_name,mangled_name,module,target_address,segment,segment_offset,provenance
__rw::__rw_numpunct_impl<char>,TYPEINFO,typeinfo name for __rw::__rw_numpunct_impl<char>,_ZTSN4__rw18__rw_numpunct_implIcEE,|static|,0x006040DB,.rodata,0x0006E0DB,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_numpunct_impl_base,TYPEINFO,typeinfo for __rw::__rw_numpunct_impl_base,_ZTIN4__rw23__rw_numpunct_impl_baseE,|static|,0x005F6D3C,.rodata,0x00060D3C,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_numpunct_impl_base,TYPEINFO,typeinfo name for __rw::__rw_numpunct_impl_base,_ZTSN4__rw23__rw_numpunct_impl_baseE,|static|,0x006040FA,.rodata,0x0006E0FA,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_numpunct_impl_data<char>,TYPEINFO,typeinfo for __rw::__rw_numpunct_impl_data<char>,_ZTIN4__rw23__rw_numpunct_impl_dataIcEE,|static|,0x005F6D44,.rodata,0x00060D44,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_numpunct_impl_data<char>,TYPEINFO,typeinfo name for __rw::__rw_numpunct_impl_data<char>,_ZTSN4__rw23__rw_numpunct_impl_dataIcEE,|static|,0x0060411B,.rodata,0x0006E11B,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_punct_data<char>,TYPEINFO,typeinfo for __rw::__rw_punct_data<char>,_ZTIN4__rw15__rw_punct_dataIcEE,|static|,0x005F6D04,.rodata,0x00060D04,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_punct_data<char>,TYPEINFO,typeinfo name for __rw::__rw_punct_data<char>,_ZTSN4__rw15__rw_punct_dataIcEE,|static|,0x0060404A,.rodata,0x0006E04A,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_synchronized,TYPEINFO,typeinfo for __rw::__rw_synchronized,_ZTIN4__rw17__rw_synchronizedE,|static|,0x005F6D28,.rodata,0x00060D28,RETAIL_ORIGINAL_SYMBOL
__rw::__rw_synchronized,TYPEINFO,typeinfo name for __rw::__rw_synchronized,_ZTSN4__rw17__rw_synchronizedE,|static|,0x006040C0,.rodata,0x0006E0C0,RETAIL_ORIGINAL_SYMBOL
app::tool::CursorController,TYPEINFO,typeinfo for app::tool::CursorController,_ZTIN3app4tool16CursorControllerE,|static|,0x005F6A20,.rodata,0x00060A20,RETAIL_ORIGINAL_SYMBOL
app::ui::UIView,TYPEINFO,typeinfo for app::ui::UIView,_ZTIN3app2ui6UIViewE,|static|,0x005F68A8,.rodata,0x000608A8,RETAIL_ORIGINAL_SYMBOL
gfl2::Effect::EffectRenderPath,TYPEINFO,typeinfo for gfl2::Effect::EffectRenderPath,_ZTIN4gfl26Effect16EffectRenderPathE,|static|,0x005F7EF8,.rodata,0x00061EF8,RETAIL_ORIGINAL_SYMBOL
gfl2::pawn::Pawn,VTABLE,vtable for gfl2::pawn::Pawn,_ZTVN4gfl24pawn4PawnE,|static|,0x0061A508,.rodata,0x00084508,RETAIL_ORIGINAL_SYMBOL
gfl2::renderingengine::renderer::RenderingPipeLine,TYPEINFO,typeinfo for gfl2::renderingengine::renderer::RenderingPipeLine,_ZTIN4gfl215renderingengine8renderer17RenderingPipeLineE,|static|,0x005F76D8,.rodata,0x000616D8,RETAIL_ORIGINAL_SYMBOL
gfl2::renderingengine::renderer::RenderingPipeLine::PresentPath,VTABLE,vtable for gfl2::renderingengine::renderer::RenderingPipeLine::PresentPath,_ZTVN4gfl215renderingengine8renderer17RenderingPipeLine11PresentPathE,|static|,0x0061960C,.rodata,0x0008360C,RETAIL_ORIGINAL_SYMBOL
gfl2::renderingengine::renderer::RenderingPipeLine::SceneRenderPath,TYPEINFO,typeinfo for gfl2::renderingengine::renderer::RenderingPipeLine::SceneRenderPath,_ZTIN4gfl215renderingengine8renderer17RenderingPipeLine15SceneRenderPathE,|static|,0x005F76CC,.rodata,0x000616CC,RETAIL_ORIGINAL_SYMBOL
gfl2::renderingengine::scenegraph::instance::InstanceNode,TYPEINFO,typeinfo for gfl2::renderingengine::scenegraph::instance::InstanceNode,_ZTIN4gfl215renderingengine10scenegraph8instance12InstanceNodeE,|static|,0x005F7008,.rodata,0x00061008,RETAIL_ORIGINAL_SYMBOL
gfl2::renderingengine::scenegraph::instance::ModelInstanceNode,TYPEINFO,typeinfo for gfl2::renderingengine::scenegraph::instance::ModelInstanceNode,_ZTIN4gfl215renderingengine10scenegraph8instance17ModelInstanceNodeE,|static|,0x005F7068,.rodata,0x00061068,RETAIL_ORIGINAL_SYMBOL
gfl2::renderingengine::scenegraph::resource::ArrayResourceNode,TYPEINFO,typeinfo for gfl2::renderingengine::scenegraph::resource::ArrayResourceNode,_ZTIN4gfl215renderingengine10scenegraph8resource17ArrayResourceNodeE,|static|,0x005F71B0,.rodata,0x000611B0,RETAIL_ORIGINAL_SYMBOL
nn::nex::Buffer,VTABLE,vtable for nn::nex::Buffer,_ZTVN2nn3nex6BufferE,|static|,0x006151B0,.rodata,0x0007F1B0,RETAIL_ORIGINAL_SYMBOL
std::__rw_exception,TYPEINFO,typeinfo for std::__rw_exception,_ZTISt14__rw_exception,|static|,0x005F9C00,.rodata,0x00063C00,RETAIL_ORIGINAL_SYMBOL
std::__rw_exception,TYPEINFO,typeinfo name for std::__rw_exception,_ZTSSt14__rw_exception,|static|,0x0060EB67,.rodata,0x00078B67,RETAIL_ORIGINAL_SYMBOL
std::__rw_exception,VTABLE,vtable for std::__rw_exception,_ZTVSt14__rw_exception,|static|,0x0061F65C,.rodata,0x0008965C,RETAIL_ORIGINAL_SYMBOL
