entry,end,size,name,qualified_name,namespace,symbol_source,signature_source,signature,is_thunk,thunk_target,body_sha256,mnemonic_sha256,instruction_count,memory_block
00100d28,00100d43,28,"FUN_00100d28","FUN_00100d28","Global",DEFAULT,ANALYSIS,"short * __stdcall FUN_00100d28(short * param_1, short * param_2, int param_3)",false,"",6cbf300b5b5b55c90f59c29c459d3ff6927ed8ca1fde343b2a81ad918d7a9c81,bd35acd637a0e90784d563cab8b944e551d89e584ef79190c8556f4054a202df,14,".text"
00100d44,00100d4d,10,"FUN_00100d44","FUN_00100d44","Global",DEFAULT,ANALYSIS,"undefined __stdcall FUN_00100d44(uint * param_1, uint * param_2, int param_3, byte param_4)",false,"",6f32de45cbf31c4d336d2796d5198ca8ae7f7b554bc4584df905bb176567415d,3c1bdfb96fb84e7471025cee96f4f3e146cdc228a0f7581296dcb77ec2bbce7e,4,".text"
00100d4e,00100d69,28,"FUN_00100d4e","FUN_00100d4e","Global",DEFAULT,ANALYSIS,"short * __stdcall FUN_00100d4e(short * param_1, short * param_2)",false,"",962991f68c626f712b30fc20779bc313676493ba4e76078ef977c18fca281196,c42305c00932456b7db836f6e57c5addab37a90c829d73ff58bfe947481bfaff,14,".text"
00100d6a,00100d93,42,"FUN_00100d6a","FUN_00100d6a","Global",DEFAULT,ANALYSIS,"short * __stdcall FUN_00100d6a(short * param_1, short * param_2, int param_3)",false,"",0ab3edf0c6157ea7e6cead1f115d5b9af2cdfc3ef65db1600e7407a004fff5c7,4690a19c1af4c135ef95aeb67c9aafceff1658c1fdaf9123325e6a8973acedf5,21,".text"
00100d94,00100d95,2,"thunk_FUN_00100d9a","thunk_FUN_00100d9a","Global",DEFAULT,ANALYSIS,"int __stdcall thunk_FUN_00100d9a(ushort * param_1, ushort * param_2)",true,"00100d9a",50996999ff63a9a1a07da880af8f8c745a7fe72cec8ba33615464813b41b14b3,0263829989b6fd954f72baaf2fc64bc2e2f01d692d4de72986ea808f6e99813f,1,".text"
00100d9a,00100daf,26,"FUN_00100d9a","FUN_00100d9a","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_00100d9a(ushort * param_1, ushort * param_2)",false,"",ec0934bb8a43891e907940d8c262071bdcd60c34e04d0a2cee14b4c9d676a782,f97f428d9f0afc1f256cde72a9f5c23f7456363d88152d27f5eb09d512d92fcc,13,".text"
00100db0,00100dd7,40,"FUN_00100db0","FUN_00100db0","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_00100db0(ushort * param_1, ushort * param_2, int param_3)",false,"",c3e83ade257e0102d82e03e8e30c1c1bcab158f6e680cd0a879cb5cdd3635089,2789ffc79cd532fe1c59cccd92ad9fff482237a551da3271f26cab3a72f4a896,20,".text"
00100dd8,00100dd9,2,"thunk_FUN_00100ddc","thunk_FUN_00100ddc","Global",DEFAULT,ANALYSIS,"ushort * __stdcall thunk_FUN_00100ddc(ushort * param_1, uint param_2)",true,"00100ddc",548431144999ce11132441250358e8e03153d5cd91cb82cc27a8dbdcf8e1e80d,0263829989b6fd954f72baaf2fc64bc2e2f01d692d4de72986ea808f6e99813f,1,".text"
00100ddc,00100df1,24,"FUN_00100ddc","FUN_00100ddc","Global",DEFAULT,ANALYSIS,"ushort * __stdcall FUN_00100ddc(ushort * param_1, uint param_2)",false,"",54e3f20f4e82ae2de77ba77909217ca62a0706fef5ad73fd00ce62852db283fd,509246f2c7b0c26dcde2d58a78adda25d29b8128fc8c20a6c2550f95e361d897,12,".text"
00100df2,00100e1d,44,"FUN_00100df2","FUN_00100df2","Global",DEFAULT,ANALYSIS,"int __stdcall FUN_00100df2(int param_1, int param_2)",false,"",d30527a1b10f717e8dbd323b23b7bf23b66239d6697f19218ba37d004e980756,2575e9fc8be28157a5be3793a8393ff139fcadd2ea04877e5e1a1ca4f1a701d8,22,".text"
